seed_name,query_name,ref_name,estimation,query_time,ref_time
7-mers,query1 | len_10000 ,query1+735 | len_10019 +735 ,0.027790273404308494,0.000316768,0.000026529
7-mers,query1 | len_10000 ,query1+740 | len_9989 +740 ,0.005806677679331231,0.000316768,0.000026669
7-mers,query1 | len_10000 ,query1+745 | len_9984 +745 ,0.033546965752052876,0.000316768,0.000026479
7-mers,query1 | len_10000 ,query1+750 | len_9983 +750 ,0.012618296529968454,0.000316768,0.00002667
7-mers,query1 | len_10000 ,query1+755 | len_9995 +755 ,0.014111995195916528,0.000316768,0.000029094
7-mers,query1 | len_10000 ,query1+760 | len_9999 +760 ,0.05483564316805924,0.000316768,0.000028693
7-mers,query1 | len_10000 ,query1+765 | len_9991 +765 ,0.061965063316482306,0.000316768,0.000028513
7-mers,query1 | len_10000 ,query1+770 | len_9982 +770 ,0.022233350025037558,0.000316768,0.000028623
7-mers,query1 | len_10000 ,query1+775 | len_9992 +775 ,0.03153153153153153,0.000316768,0.000028643
7-mers,query1 | len_10000 ,query1+780 | len_9988 +780 ,0.028734481377653182,0.000316768,0.000029865
7-mers,query1 | len_10000 ,query1+785 | len_9990 +785 ,0.021123235559115026,0.000316768,0.000029706
7-mers,query1 | len_10000 ,query1+790 | len_10016 +790 ,0.02519496100779844,0.000316768,0.000031067
7-mers,query1 | len_10000 ,query1+795 | len_9973 +795 ,0.017634387054756777,0.000316768,0.000029175
7-mers,query1 | len_10000 ,query1+800 | len_10019 +800 ,0.0206927575348628,0.000316768,0.000029274
7-mers,query1 | len_10000 ,query1+805 | len_10010 +805 ,0.044904490449044904,0.000316768,0.000028953
7-mers,query1 | len_10000 ,query1+810 | len_10058 +810 ,0.01656190761249127,0.000316768,0.000028954
7-mers,query1 | len_10000 ,query1+815 | len_10055 +815 ,0.00898069151324652,0.000316768,0.000028543
7-mers,query1 | len_10000 ,query1+820 | len_9992 +820 ,0.025725725725725727,0.000316768,0.000028723
7-mers,query1 | len_10000 ,query1+825 | len_10009 +825 ,0.004200630094514177,0.000316768,0.000028553
7-mers,query1 | len_10000 ,query1+830 | len_9990 +830 ,0.021223345680248272,0.000316768,0.000028523
7-mers,query1 | len_10000 ,query1+835 | len_10001 +835 ,0.019110510780929513,0.000316768,0.000028553
7-mers,query1 | len_10000 ,query1+840 | len_10007 +840 ,0.019304826206551638,0.000316768,0.000028673
7-mers,query1 | len_10000 ,query1+845 | len_9999 +845 ,0.029419122429579225,0.000316768,0.000028463
7-mers,query1 | len_10000 ,query1+850 | len_10010 +850 ,0.0499049904990499,0.000316768,0.000028693
7-mers,query1 | len_10000 ,query1+855 | len_9991 +855 ,0.02422543670854397,0.000316768,0.000026389
7-mers,query1 | len_10000 ,query1+860 | len_10018 +860 ,0.010796760971708487,0.000316768,0.000025217
7-mers,query1 | len_10000 ,query1+865 | len_10015 +865 ,0.007898815177723341,0.000316768,0.000024956
7-mers,query1 | len_10000 ,query1+870 | len_9985 +870 ,0.011315275622089822,0.000316768,0.000024976
7-mers,query1 | len_10000 ,query1+875 | len_10006 +875 ,0.04451335400620186,0.000316768,0.000025337
7-mers,query1 | len_10000 ,query1+880 | len_10021 +880 ,0.019091408866010295,0.000316768,0.000025206
7-mers,query1 | len_10000 ,query1+885 | len_10004 +885 ,0.027410964385754303,0.000316768,0.000025207
7-mers,query1 | len_10000 ,query1+890 | len_10002 +890 ,0.016508254127063533,0.000316768,0.000025768
7-mers,query1 | len_10000 ,query1+895 | len_9948 +895 ,0.0017054574638844303,0.000316768,0.00002691
7-mers,query1 | len_10000 ,query1+900 | len_10024 +900 ,0.002298620827503498,0.000316768,0.000025618
7-mers,query1 | len_10000 ,query1+905 | len_9994 +905 ,0.040836753077769995,0.000316768,0.000025237
7-mers,query1 | len_10000 ,query1+910 | len_10009 +910 ,0.04360654098114717,0.000316768,0.000024976
7-mers,query1 | len_10000 ,query1+915 | len_9992 +915 ,0,0.000316768,0.000025067
7-mers,query1 | len_10000 ,query1+920 | len_9983 +920 ,0.014220619898853338,0.000316768,0.000024976
7-mers,query1 | len_10000 ,query1+925 | len_9957 +925 ,0.016746051642015543,0.000316768,0.000024926
7-mers,query1 | len_10000 ,query1+930 | len_9994 +930 ,0.04714242818536683,0.000316768,0.000028913
7-mers,query1 | len_10000 ,query1+935 | len_10016 +935 ,0.02539492101579684,0.000316768,0.000025087
7-mers,query1 | len_10000 ,query1+940 | len_10036 +940 ,0.009588493807431082,0.000316768,0.000025186
7-mers,query1 | len_10000 ,query1+945 | len_10003 +945 ,0.021009454254414486,0.000316768,0.000025006
7-mers,query1 | len_10000 ,query1+950 | len_10038 +950 ,0.0018975332068311196,0.000316768,0.000024996
7-mers,query1 | len_10000 ,query1+955 | len_10012 +955 ,0.0111,0.000316768,0.00002673
7-mers,query1 | len_10000 ,query1+960 | len_9923 +960 ,0.0033147506403495555,0.000316768,0.000024124
7-mers,query1 | len_10000 ,query1+965 | len_9979 +965 ,0.02313817799368959,0.000316768,0.000024295
7-mers,query1 | len_10000 ,query1+970 | len_9960 +970 ,0.011028674553839985,0.000316768,0.000024245
7-mers,query1 | len_10000 ,query1+975 | len_10014 +975 ,0.039896010398960104,0.000316768,0.000024345
7-mers,query1 | len_10000 ,query1+980 | len_9971 +980 ,0,0.000316768,0.000024496
7-mers,query1 | len_10000 ,query1+985 | len_10060 +985 ,0.00578611332801277,0.000316768,0.000029605
7-mers,query1 | len_10000 ,query1+990 | len_10009 +990 ,0.010301545231784767,0.000316768,0.000025237
7-mers,query1 | len_10000 ,query1+995 | len_9994 +995 ,0.016114503052747472,0.000316768,0.000024636
7-mers,query1 | len_10000 ,query1+1000 | len_10053 +1000 ,0.010378723616585999,0.000316768,0.000024736
7-mers,query1 | len_10000 ,query1+1005 | len_9969 +1005 ,0.009119607155384075,0.000316768,0.000024316
7-mers,query1 | len_10000 ,query1+1010 | len_9955 +1010 ,0.011733440304868876,0.000316768,0.000027461
7-mers,query1 | len_10000 ,query1+1015 | len_9994 +1015 ,0.02031828645781203,0.000316768,0.000027601
7-mers,query1 | len_10000 ,query1+1020 | len_9981 +1020 ,0.031248435074365265,0.000316768,0.000024235
7-mers,query1 | len_10000 ,query1+1025 | len_9995 +1025 ,0.037231646899864884,0.000316768,0.000024215
7-mers,query1 | len_10000 ,query1+1030 | len_9949 +1030 ,0.009329387570848172,0.000316768,0.000024165
7-mers,query1 | len_10000 ,query1+1035 | len_10049 +1035 ,0.0019963068323601337,0.000316768,0.000024265
7-mers,query1 | len_10000 ,query1+1040 | len_10042 +1040 ,0.024163754368447327,0.000316768,0.000024586
7-mers,query1 | len_10000 ,query1+1045 | len_10025 +1045 ,0.015290061460050967,0.000316768,0.000024515
7-mers,query1 | len_10000 ,query1+1050 | len_9987 +1050 ,0.002102628285356696,0.000316768,0.000024245
7-mers,query1 | len_10000 ,query1+1055 | len_10029 +1055 ,0.0038966878153569467,0.000316768,0.000025337
7-mers,query1 | len_10000 ,query1+1060 | len_9966 +1060 ,0.0025057632554876213,0.000316768,0.000025237
7-mers,query1 | len_10000 ,query1+1065 | len_10053 +1065 ,0.002395090065366,0.000316768,0.000025398
7-mers,query1 | len_10000 ,query1+1070 | len_9992 +1070 ,0.02002002002002002,0.000316768,0.000025106
7-mers,query1 | len_10000 ,query1+1075 | len_9991 +1075 ,0.003303468642074178,0.000316768,0.000025167
