seed_name,query_name,ref_name,estimation,query_time,ref_time
(2.6.5.25)-minstrobemers,query1 | len_10000 ,query1+500 | len_9957 +500 ,0.008828693253072485,0.032218543,0.031711278
(2.6.5.25)-minstrobemers,query1 | len_10000 ,query1+505 | len_9976 +505 ,0.012629046807657612,0.032218543,0.031795327
(2.6.5.25)-minstrobemers,query1 | len_10000 ,query1+510 | len_10012 +510 ,0.0007003501750875437,0.032218543,0.031939338
(2.6.5.25)-minstrobemers,query1 | len_10000 ,query1+515 | len_10032 +515 ,0.0006996501749125438,0.032218543,0.032121913
(2.6.5.25)-minstrobemers,query1 | len_10000 ,query1+520 | len_10025 +520 ,0.021496775483677448,0.032218543,0.031866641
(2.6.5.25)-minstrobemers,query1 | len_10000 ,query1+525 | len_9953 +525 ,0.012844312879434048,0.032218543,0.031799776
(2.6.5.25)-minstrobemers,query1 | len_10000 ,query1+530 | len_9990 +530 ,0.0008012820512820513,0.032218543,0.031743139
(2.6.5.25)-minstrobemers,query1 | len_10000 ,query1+535 | len_9996 +535 ,0.018624211474917392,0.032218543,0.043710423
(2.6.5.25)-minstrobemers,query1 | len_10000 ,query1+540 | len_10005 +540 ,0.012510634038933093,0.032218543,0.031638011
(2.6.5.25)-minstrobemers,query1 | len_10000 ,query1+545 | len_9986 +545 ,0.006010819475055099,0.032218543,0.031732358
(2.6.5.25)-minstrobemers,query1 | len_10000 ,query1+550 | len_10005 +550 ,0.010809187809638193,0.032218543,0.031748689
(2.6.5.25)-minstrobemers,query1 | len_10000 ,query1+555 | len_10024 +555 ,0.0016998300169983002,0.032218543,0.031922457
(2.6.5.25)-minstrobemers,query1 | len_10000 ,query1+560 | len_10011 +560 ,0.025914252839061482,0.032218543,0.031955019
(2.6.5.25)-minstrobemers,query1 | len_10000 ,query1+565 | len_9990 +565 ,0.0014022435897435897,0.032218543,0.031666374
(2.6.5.25)-minstrobemers,query1 | len_10000 ,query1+570 | len_10013 +570 ,0.02441098494322445,0.032218543,0.03190311
